Season,Date,Week,Away,Home,Game ID,Script,Colorado State
2019,11/19/2019,13,Eastern Michigan,Northern Illinois,401119305,"""401119305"",",https://www.espn.com/college-football/game/_/gameId/401119305
2019,11/19/2019,13,Ohio,Bowling Green,401119306,"""401119306"",",https://www.espn.com/college-football/game/_/gameId/401119306
2019,11/20/2019,13,Akron,Miami OH,401119307,"""401119307"",",https://www.espn.com/college-football/game/_/gameId/401119307
2019,11/20/2019,13,Toledo,Buffalo,401119308,"""401119308"",",https://www.espn.com/college-football/game/_/gameId/401119308
2019,11/21/2019,13,North Carolina State,Georgia Tech,401112513,"""401112513"",",https://www.espn.com/college-football/game/_/gameId/401112513
2019,11/22/2019,13,Colorado State,Wyoming,401117550,"""401117550"",",https://www.espn.com/college-football/game/_/gameId/401117550
2019,11/23/2019,13,Arkansas,LSU,401110859,"""401110859"",",https://www.espn.com/college-football/game/_/gameId/401110859
2019,11/23/2019,13,Texas A&M,Georgia,401110857,"""401110857"",",https://www.espn.com/college-football/game/_/gameId/401110857
2019,11/23/2019,13,Oregon,Arizona State,401114162,"""401114162"",",https://www.espn.com/college-football/game/_/gameId/401114162
2019,11/23/2019,13,Utah,Arizona,401114173,"""401114173"",",https://www.espn.com/college-football/game/_/gameId/401114173
2019,11/23/2019,13,TCU,Oklahoma,401112120,"""401112120"",",https://www.espn.com/college-football/game/_/gameId/401112120
2019,11/23/2019,13,Texas,Baylor,401112083,"""401112083"",",https://www.espn.com/college-football/game/_/gameId/401112083
2019,11/23/2019,13,Purdue,Wisconsin,401112263,"""401112263"",",https://www.espn.com/college-football/game/_/gameId/401112263
2019,11/23/2019,13,Michigan,Indiana,401112167,"""401112167"",",https://www.espn.com/college-football/game/_/gameId/401112167
2019,11/23/2019,13,Kansas State,Texas Tech,401112113,"""401112113"",",https://www.espn.com/college-football/game/_/gameId/401112113
2019,11/23/2019,13,Minnesota,Northwestern,401112236,"""401112236"",",https://www.espn.com/college-football/game/_/gameId/401112236
2019,11/23/2019,13,Illinois,Iowa,401112155,"""401112155"",",https://www.espn.com/college-football/game/_/gameId/401112155
2019,11/23/2019,13,Duke,Wake Forest,401112515,"""401112515"",",https://www.espn.com/college-football/game/_/gameId/401112515
2019,11/23/2019,13,Temple,Cincinnati,401117907,"""401117907"",",https://www.espn.com/college-football/game/_/gameId/401117907
2019,11/23/2019,13,Memphis,South Florida,401117909,"""401117909"",",https://www.espn.com/college-football/game/_/gameId/401117909
2019,11/23/2019,13,Oklahoma State,West Virginia,401112128,"""401112128"",",https://www.espn.com/college-football/game/_/gameId/401112128
2019,11/23/2019,13,Nevada,Fresno State,401117551,"""401117551"",",https://www.espn.com/college-football/game/_/gameId/401117551
2019,11/23/2019,13,UCF,Tulane,401117906,"""401117906"",",https://www.espn.com/college-football/game/_/gameId/401117906
2019,11/23/2019,13,East Carolina,UConn,401117908,"""401117908"",",https://www.espn.com/college-football/game/_/gameId/401117908
2019,11/23/2019,13,Houston,Tulsa,401117910,"""401117910"",",https://www.espn.com/college-football/game/_/gameId/401117910
2019,11/23/2019,13,Ball State,Kent State,401119309,"""401119309"",",https://www.espn.com/college-football/game/_/gameId/401119309
2019,11/23/2019,13,Troy,Louisiana,401121977,"""401121977"",",https://www.espn.com/college-football/game/_/gameId/401121977
2019,11/23/2019,13,Syracuse,Louisville,401112516,"""401112516"",",https://www.espn.com/college-football/game/_/gameId/401112516
2019,11/23/2019,13,Louisiana Tech,UAB,401114315,"""401114315"",",https://www.espn.com/college-football/game/_/gameId/401114315
2019,11/23/2019,13,Mercer,North Carolina,401112518,"""401112518"",",https://www.espn.com/college-football/game/_/gameId/401112518
2019,11/23/2019,13,Pittsburgh,Virginia Tech,401112519,"""401112519"",",https://www.espn.com/college-football/game/_/gameId/401112519
2019,11/23/2019,13,Liberty,Virginia,401112520,"""401112520"",",https://www.espn.com/college-football/game/_/gameId/401112520
2019,11/23/2019,13,California,Stanford,401114182,"""401114182"",",https://www.espn.com/college-football/game/_/gameId/401114182
2019,11/23/2019,13,Washington,Colorado,401114191,"""401114191"",",https://www.espn.com/college-football/game/_/gameId/401114191
2019,11/23/2019,13,Oregon State,Washington State,401114206,"""401114206"",",https://www.espn.com/college-football/game/_/gameId/401114206
2019,11/23/2019,13,UCLA,USC,401114217,"""401114217"",",https://www.espn.com/college-football/game/_/gameId/401114217
2019,11/23/2019,13,Tennessee,Missouri,401110861,"""401110861"",",https://www.espn.com/college-football/game/_/gameId/401110861
2019,11/23/2019,13,Kansas,Iowa State,401112094,"""401112094"",",https://www.espn.com/college-football/game/_/gameId/401112094
2019,11/23/2019,13,Nebraska,Maryland,401112210,"""401112210"",",https://www.espn.com/college-football/game/_/gameId/401112210
2019,11/23/2019,13,Michigan State,Rutgers,401112220,"""401112220"",",https://www.espn.com/college-football/game/_/gameId/401112220
2019,11/23/2019,13,Penn State,Ohio State,401112256,"""401112256"",",https://www.espn.com/college-football/game/_/gameId/401112256
2019,11/23/2019,13,Western Carolina,Alabama,401110855,"""401110855"",",https://www.espn.com/college-football/game/_/gameId/401110855
2019,11/23/2019,13,Samford,Auburn,401110856,"""401110856"",",https://www.espn.com/college-football/game/_/gameId/401110856
2019,11/23/2019,13,BYU,UMass,401114358,"""401114358"",",https://www.espn.com/college-football/game/_/gameId/401114358
