"Season";"Date";"Week";"Away";"Home";"Game ID";"Script";"Colorado State"
2016;"8/26/2016";0;"California";"Hawaii";400869090;"""400869090"",";""
2016;"9/1/2016";1;"South Carolina";"Vanderbilt";400868968;"""400868968"",";""
2016;"9/1/2016";1;"Appalachian State";"Tennessee";400868977;"""400868977"",";""
2016;"9/1/2016";1;"Southern Utah";"Utah";400869091;"""400869091"",";""
2016;"9/1/2016";1;"Oregon State";"Minnesota";400869092;"""400869092"",";""
2016;"9/1/2016";1;"Weber State";"Utah State";400869173;"""400869173"",";""
2016;"9/1/2016";1;"Jackson State";"UNLV";400869174;"""400869174"",";""
2016;"9/1/2016";1;"South Dakota";"New Mexico";400869177;"""400869177"",";""
2016;"9/1/2016";1;"Presbyterian College";"Central Michigan";400869257;"""400869257"",";""
2016;"9/1/2016";1;"Charlotte";"Louisville";400869341;"""400869341"",";""
2016;"9/1/2016";1;"Indiana";"Florida Intl";400869342;"""400869342"",";""
2016;"9/1/2016";1;"Rice";"Western Kentucky";400869347;"""400869347"",";""
2016;"9/1/2016";1;"Tulane";"Wake Forest";400869421;"""400869421"",";""
2016;"9/1/2016";1;"William & Mary";"North Carolina State";400869422;"""400869422"",";""
2016;"9/1/2016";1;"UT Martin";"Cincinnati";400869502;"""400869502"",";""
2016;"9/1/2016";1;"Maine";"UConn";400869503;"""400869503"",";""
2016;"9/2/2016";1;"Northwestern State";"Baylor";400868876;"""400868876"",";""
2016;"9/2/2016";1;"Army";"Temple";400868910;"""400868910"",";""
2016;"9/2/2016";1;"Colorado";"Colorado State";400869093;"""400869093"",";"X"
2016;"9/2/2016";1;"Kansas State";"Stanford";400869094;"""400869094"",";""
2016;"9/2/2016";1;"Cal Poly";"Nevada";400869181;"""400869181"",";""
2016;"9/2/2016";1;"Ball State";"Georgia State";400869258;"""400869258"",";""
2016;"9/2/2016";1;"Albany";"Buffalo";400869259;"""400869259"",";""
2016;"9/2/2016";1;"Mississippi Valley State";"Eastern Michigan";400869263;"""400869263"",";""
